iter	Passed	Remaining
0	2	2647
1	5	2655
2	7	2488
3	9	2407
4	11	2299
5	13	2200
6	15	2192
7	17	2145
8	19	2192
9	22	2242
10	24	2225
11	26	2199
12	28	2175
13	30	2159
14	32	2158
15	35	2163
16	37	2176
17	39	2142
18	40	2110
19	42	2085
20	44	2062
21	46	2049
22	48	2072
23	51	2093
24	53	2084
25	56	2109
26	58	2090
27	59	2077
28	61	2070
29	64	2089
30	66	2091
31	69	2097
32	71	2087
33	73	2080
34	75	2080
35	79	2128
36	82	2138
37	84	2131
38	85	2116
39	87	2108
40	89	2099
41	91	2096
42	95	2123
43	97	2117
44	99	2104
45	101	2095
46	102	2087
47	104	2078
48	106	2073
49	110	2092
50	111	2082
51	113	2069
52	115	2056
53	117	2054
54	119	2051
55	121	2046
56	123	2046
57	126	2055
58	128	2045
59	130	2040
60	131	2029
61	133	2022
62	135	2013
63	138	2019
64	140	2026
65	142	2020
66	144	2015
67	146	2005
68	147	1996
69	149	1992
70	152	1996
71	154	1994
72	157	2004
73	159	1996
74	161	1987
75	162	1979
76	164	1975
77	167	1976
78	169	1975
79	171	1976
80	173	1969
81	175	1964
82	176	1950
83	178	1946
84	180	1942
85	182	1942
86	186	1955
87	188	1953
88	190	1948
89	192	1942
90	193	1936
91	196	1939
92	198	1938
93	200	1930
94	202	1924
95	204	1921
96	205	1916
97	207	1913
98	210	1911
99	212	1914
100	214	1910
101	216	1904
102	218	1899
103	219	1893
104	221	1889
105	223	1884
106	225	1884
107	227	1881
108	229	1876
109	231	1871
110	233	1866
111	234	1863
112	236	1859
113	238	1854
114	241	1857
115	243	1855
116	244	1846
117	246	1842
118	248	1838
119	250	1834
120	252	1830
121	253	1823
122	255	1822
123	257	1820
124	259	1815
125	261	1812
126	262	1805
127	264	1800
128	266	1796
129	267	1792
130	269	1790
131	272	1789
132	273	1784
133	275	1780
134	277	1777
135	279	1772
136	280	1768
137	282	1766
138	285	1766
139	287	1764
140	288	1760
141	290	1753
142	291	1749
143	293	1745
144	295	1742
145	297	1738
146	299	1735
147	301	1733
148	302	1729
149	304	1726
150	306	1722
151	308	1719
152	310	1716
153	311	1712
154	313	1709
155	316	1710
156	318	1709
157	320	1705
158	321	1702
159	323	1698
160	324	1691
161	326	1688
162	329	1689
163	331	1689
164	333	1686
165	335	1684
166	337	1681
167	338	1677
168	340	1675
169	342	1671
170	345	1674
171	348	1676
172	349	1672
173	351	1668
174	353	1664
175	354	1661
176	356	1657
177	358	1655
178	361	1657
179	363	1656
180	365	1653
181	367	1649
182	368	1646
183	370	1643
184	372	1640
185	375	1641
186	377	1640
187	378	1636
188	380	1633
189	382	1630
190	384	1627
191	385	1624
192	387	1621
193	390	1621
194	392	1619
195	393	1615
196	395	1612
197	397	1609
198	399	1606
199	400	1603
200	402	1600
201	405	1601
202	407	1599
203	409	1596
204	410	1592
205	412	1588
206	413	1585
207	415	1583
208	417	1580
209	419	1579
210	421	1577
211	423	1575
212	425	1573
213	427	1571
214	430	1570
215	433	1571
216	436	1573
217	437	1570
218	439	1567
219	441	1564
220	443	1561
221	444	1559
222	446	1555
223	448	1553
224	450	1551
225	452	1548
226	453	1545
227	455	1543
228	457	1540
229	459	1537
230	460	1534
231	463	1532
232	465	1531
233	467	1528
234	468	1526
235	470	1524
236	472	1521
237	474	1518
238	476	1515
239	478	1514
240	480	1513
241	482	1510
242	483	1507
243	485	1504
244	487	1502
245	489	1500
246	491	1497
247	493	1495
248	495	1492
249	496	1489
250	498	1486
251	499	1483
252	501	1480
253	503	1478
254	505	1475
255	506	1472
256	509	1472
257	511	1469
258	512	1467
259	514	1464
260	516	1461
261	517	1458
262	519	1456
263	521	1453
264	523	1452
265	525	1450
266	527	1448
267	529	1445
268	530	1442
269	532	1440
270	534	1437
271	535	1434
272	538	1432
273	540	1431
274	541	1428
275	543	1425
276	545	1423
277	546	1420
278	548	1417
279	550	1415
280	552	1412
281	554	1411
282	556	1409
283	558	1406
284	559	1404
285	561	1402
286	563	1399
287	565	1397
288	567	1395
289	569	1393
290	571	1392
291	573	1389
292	574	1387
293	576	1384
294	578	1382
295	580	1379
296	582	1378
297	584	1376
298	586	1373
299	587	1371
300	589	1369
301	591	1366
302	593	1364
303	594	1362
304	596	1360
305	599	1358
306	600	1356
307	602	1354
308	604	1351
309	606	1348
310	607	1346
311	609	1343
312	611	1342
313	613	1340
314	615	1338
315	617	1335
316	618	1333
317	620	1330
318	622	1328
319	623	1325
320	625	1323
321	627	1321
322	629	1320
323	631	1317
324	633	1315
325	635	1312
326	636	1310
327	638	1308
328	640	1306
329	642	1304
330	644	1302
331	646	1300
332	647	1297
333	649	1295
334	651	1292
335	652	1290
336	654	1288
337	656	1285
338	658	1284
339	660	1282
340	662	1280
341	664	1277
342	665	1275
343	667	1273
344	669	1271
345	671	1269
346	673	1268
347	675	1265
348	677	1263
349	678	1260
350	680	1258
351	682	1256
352	684	1253
353	685	1251
354	687	1249
355	689	1247
356	691	1245
357	693	1243
358	695	1241
359	697	1239
360	699	1237
361	701	1235
362	703	1234
363	705	1232
364	707	1230
365	708	1227
366	710	1225
367	712	1223
368	713	1220
369	716	1219
370	718	1217
371	720	1216
372	722	1214
373	724	1212
374	725	1209
375	727	1207
376	729	1205
377	732	1204
378	734	1203
379	736	1201
380	737	1198
381	739	1196
382	741	1193
383	742	1191
384	744	1189
385	747	1188
386	749	1186
387	750	1184
388	752	1182
389	754	1180
390	756	1177
391	757	1175
392	760	1173
393	763	1173
394	764	1171
395	766	1169
396	768	1166
397	770	1164
398	771	1162
399	773	1160
400	776	1159
401	778	1157
402	780	1155
403	781	1153
404	783	1151
405	785	1148
406	786	1146
407	788	1144
408	791	1143
409	793	1141
410	794	1139
411	796	1137
412	798	1135
413	800	1133
414	802	1131
415	805	1130
416	807	1128
417	809	1126
418	810	1124
419	812	1122
420	814	1120
421	816	1117
422	818	1115
423	819	1113
424	821	1111
425	823	1109
426	824	1107
427	826	1104
428	828	1102
429	830	1100
430	832	1098
431	834	1096
432	836	1094
433	837	1092
434	839	1090
435	840	1087
436	842	1085
437	844	1083
438	846	1081
439	847	1079
440	850	1077
441	851	1075
442	853	1073
443	855	1070
444	856	1068
445	858	1066
446	860	1064
447	862	1062
448	863	1060
449	866	1058
450	867	1056
451	869	1053
452	871	1051
453	872	1049
454	874	1047
455	876	1045
456	877	1043
457	880	1041
458	881	1039
459	883	1037
460	885	1035
461	887	1033
462	888	1030
463	890	1028
464	892	1026
465	894	1025
466	896	1023
